Report_Id,Crime_Type,,Crime_Detail,Year_Key,Street_Address,Datetime
"16ed7466b3726aa4","Theft / Larceny","","THEFT 4TH - FROM A PUBLIC BUILDING","2019-00233580","1400 BLOCK  MOBILE RD","12/4/2019 @ 7:29 PM"
"16ed7466b3726aa4","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00233158","700 BLOCK  FELDER AV","12/4/2019 @ 1:00 AM"
"16ed7466b3726aa4","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00233215","600 BLOCK  MILDRED ST","12/3/2019 @ 8:00 PM"
"16ed7466b3726aa4","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00233477","1900 BLOCK  GRAHAM ST","12/3/2019 @ 6:00 PM"
"16ed7466b3726aa4","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2019-00233191","2300 BLOCK  AJAX ST","12/3/2019 @ 11:00 AM"
"16ed7466b3726aa4","Sex Crimes","","SODOMY 1ST - HOMOSEXUAL ACT WITH A BOY UNDER 12","2019-00228730","1800 BLOCK  GIBBS CIR","11/27/2019 @ 6:30 AM"
"16ed21d10676b526","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00232924","1900 BLOCK  GIBBS DR","12/3/2019 @ 7:45 AM"
"16ed21d10676b526","Theft / Larceny","","THEFT 4TH - SHOPLIFTING LESS THAN $500","2019-00232205","1400 BLOCK  MOBILE RD","12/2/2019 @ 8:17 PM"
"16ed21d10676b526","Weapons","","DISCHARGE FIREARM INTO UNOCCUPIED BUILDING/VEHICLE","2019-00232751","1900 BLOCK  MOBILE RD","12/2/2019 @ 5:00 PM"
"16ed21d10676b526","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00232533","3200 BLOCK  GASTON AV","12/2/2019 @ 4:00 PM"
"16ed21d10676b526","Theft / Larceny","","THEFT 2ND - FIREARMS","2019-00232631","1900 BLOCK  HILLDALE DR","12/1/2019 @ 1:00 AM"
"16ed21d10676b526","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2019-00232831","2000 BLOCK  HILL ST","11/30/2019 @ 12:00 AM"
"16ed21d10676b526","Burglary","","BURGLARY 3RD - NON-RESIDENCE - NO FORCE","2019-00232676","600 BLOCK S  COURT ST","11/29/2019 @ 12:01 AM"
"16ed21d10676b526","Fraud","","OBSTRUCT JUSTICE USING FALSE IDENTITY","2019-00215472","1400 BLOCK  OAKLAND ST","11/7/2019 @ 1:11 PM"
"16ed21d0fb00604d","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT / COERCION","2019-00232680","3300 BLOCK  FAIRGROUND RD","12/3/2019 @ 2:00 PM"
"16ed21d0fb00604d","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT / COERCION","2019-00232478","3300 BLOCK  FAIRGROUND RD","12/3/2019 @ 7:50 AM"
"16ed21d0fb00604d","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2019-00232692","2800 BLOCK  BILTMORE AVE","12/2/2019 @ 10:00 PM"
"16ed21d0fb00604d","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00232441","4300 BLOCK  NORTHERN BLVD","12/2/2019 @ 5:00 PM"
"16eccf6c9ee88e87","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT / COERCION","2019-00232048","1900 BLOCK  HILLDALE DR","12/2/2019 @ 3:51 PM"
"16eccf6c9ee88e87","Assault","","HARASSMENT","2019-00231962","300 BLOCK N  DECATUR ST","12/2/2019 @ 1:00 PM"
"16eccf6c9ee88e87","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231739","800 BLOCK UNIVERSITY DR","12/2/2019 @ 5:50 AM"
"16eccf6c9ee88e87","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00231804","2300 BLOCK  CARLISLE ST","12/1/2019 @ 7:30 PM"
"16eccf6c9ee88e87","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2019-00231931","3000 BLOCK  CLOVERDALE RD","12/1/2019 @ 6:00 PM"
"16eccf6c9ee88e87","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231924","2300 BLOCK  PALMETTO ST","12/1/2019 @ 6:00 AM"
"16eccf6c9ee88e87","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231927","1900 BLOCK  MADISON AV","11/30/2019 @ 5:00 PM"
"16eccf6c9ee88e87","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00232158","400 BLOCK  PERCY DR","11/30/2019 @ 3:00 PM"
"16eccf6c9ee88e87","Fraud","","THEFT 3RD - CREDIT CARD/ATM FRAUD","2019-00231963","0 BLOCK  DEXTER AV","11/28/2019 @ 8:00 AM"
"16eccf6c9ee88e87","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00232212","900 BLOCK  EDGAR D NIXON AV","11/18/2019 @ 5:00 AM"
"16eccf6c424db296","Assault","","DISCHARGE FIREARM INTO OCCUPIED BUILDING/VEHICLE","2019-00232284","1500 BLOCK  GIBSON ST","12/2/2019 @ 10:50 PM"
"16eccf6c424db296","Theft / Larceny","","THEFT 4TH - SHOPLIFTING LESS THAN $500","2019-00231992","3100 BLOCK  LOWER WETUMPKA RD","12/2/2019 @ 2:00 PM"
"16eccf6c424db296","Vandalism","","DOMESTIC VIOLENCE 3RD- CRIMINAL MISCHIEF 2ND- DAMAGE TO PRIVATE PROPERTY","2019-00231929","1800 BLOCK  GIBSON CT","12/2/2019 @ 11:50 AM"
"16eccf6c424db296","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231500","400 BLOCK  COLISEUM BLVD","12/1/2019 @ 4:00 PM"
"16ec7db2be03687b","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00231618","1900 BLOCK  GIBBS DR","12/1/2019 @ 11:30 PM"
"16ec7db2be03687b","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00231317","1100 BLOCK S  MCDONOUGH ST","12/1/2019 @ 10:00 AM"
"16ec7db2be03687b","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231173","2400 BLOCK  AGNEW ST","12/1/2019 @ 7:24 AM"
"16ec7db2be03687b","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231248","1100 BLOCK MAGNOLIA","12/1/2019 @ 7:00 AM"
"16ec7db2be03687b","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231450","1000 BLOCK  FELDER AV","11/30/2019 @ 9:00 PM"
"16ec7db2be03687b","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00231302","1700 BLOCK W  FOURTH ST","11/30/2019 @ 6:00 AM"
"16ec7db2be03687b","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00230890","2000 BLOCK N  COUNTRY CLUB DR","11/30/2019 @ 6:00 AM"
"16ec7db2be03687b","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00231420","100 BLOCK  HOBBIE DR","11/28/2019 @ 11:00 AM"
"16ec7db1adae7e3a","Assault","","HARASSMENT - SIMPLE ASSAULT","2019-00231484","3400 BLOCK  COTTON ST","12/1/2019 @ 7:00 PM"
"16ec7db1adae7e3a","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00231215","1800 BLOCK  AUSTIN ST","11/29/2019 @ 2:30 PM"
"16ec7db1adae7e3a","Motor Vehicle Theft","","UNAUTHORIZED USE OF VEHICLE - NO FORCE","2019-00231390","3400 BLOCK  HARRIS ST","11/15/2019 @ 1:00 PM"
"16ec2a6eacb060e5","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00230742","800 BLOCK  OLIVE ST","11/30/2019 @ 3:30 PM"
"16ec2a6eacb060e5","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00231041","1900 BLOCK  GIBBS DR","11/30/2019 @ 3:30 PM"
"16ec2a6eacb060e5","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00230543","2000 BLOCK  PLUM ST","11/30/2019 @ 12:00 AM"
"16ec2a6eacb060e5","Drugs / Alcohol Violations","","POSSESSION OF CONTROLLED SUBSTANCE - COCAINE - POSESS","2019-00230312","800 BLOCK S  COURT ST","11/29/2019 @ 9:29 PM"
"16ec2a6eacb060e5","Assault","","HARASSMENT - SIMPLE ASSAULT","2019-00230306","1100 BLOCK  ADAMS AV","11/29/2019 @ 8:50 PM"
"16ec2a6eacb060e5","Burglary","","BURGLARY 3RD -NON-RESIDENCE - FORCE","2019-00230244","0 BLOCK E  JEFFERSON ST","11/29/2019 @ 7:35 PM"
"16ec2a6eacb060e5","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00230195","2300 BLOCK  POPLAR ST","11/29/2019 @ 4:00 PM"
"16ec2a6eacb060e5","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT / COERCION","2019-00229843","2300 BLOCK  STARR ST","11/29/2019 @ 2:00 AM"
"16ec2a6eacb060e5","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2019-00229911","300 BLOCK  FELDER AV","11/28/2019 @ 7:00 PM"
"16ec2a6eacb060e5","Theft / Larceny","","THEFT 2ND - PUBLIC BUILDING","2019-00229656","2000 BLOCK N  COUNTRY CLUB DR","11/28/2019 @ 8:00 AM"
"16ec2a6eacb060e5","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00230033","1600 BLOCK  OAK ST","11/27/2019 @ 6:00 PM"
"16ec2a6eacb060e5","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00229921","1100 BLOCK  PEACHTREE ST","11/27/2019 @ 8:26 AM"
"16ec2a6e9ed05db5","Drugs / Alcohol Violations","","MARIJUANA POSSESSION 1 FELONY","2019-00230894","0 BLOCK  COX LN","11/30/2019 @ 8:25 PM"
"16ec2a6e9ed05db5","Assault","","DOMESTIC VIOLENCE 3RD - COERCION / SIMPLE ASSAULT","2019-00230647","1700 BLOCK  CELINA PL","11/30/2019 @ 12:50 PM"
"16ec2a6e9ed05db5","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00230563","400 BLOCK  COLISEUM BLVD","11/30/2019 @ 9:30 AM"
"16ec2a6e9ed05db5","Assault","","DOMESTIC VIOLENCE 3RD - MENACING - GUN/KNIFE/STRON ARM/OTHER WEAPON","2019-00230410","1900 BLOCK  SPEIGLE ST","11/30/2019 @ 12:15 AM"
"16ec2a6e9ed05db5","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00229916","3500 BLOCK  PRINCE GEORGE DR","11/28/2019 @ 11:00 PM"
"16ec2a6e9ed05db5","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00230167","200 BLOCK  EDWARD ST","11/28/2019 @ 6:00 PM"
"16ec2a6e9ed05db5","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00230131","200 BLOCK  2ND ST","11/27/2019 @ 7:00 PM"
"16ec2a6e9ed05db5","Assault","","DOMESTIC VIOLENCE 3RD - MENACING - GUN/KNIFE/STRON ARM/OTHER WEAPON","2019-00230485","1600 BLOCK  YARBROUGH ST","11/23/2019 @ 4:15 AM"
"16ebdfcc319a46d4","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00229751","700 BLOCK  COLISEUM BLVD","11/28/2019 @ 11:00 AM"
"16ebdfcc319a46d4","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00229241","400 BLOCK  EMPIRE RD","11/27/2019 @ 7:45 PM"
"16ebdfcc04c53f06","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT / COERCION","2019-00229490","1700 BLOCK  PINE ST","11/28/2019 @ 1:00 PM"
"16ebdfcc04c53f06","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2019-00229436","3100 BLOCK  UPCHURCH CIR","11/28/2019 @ 10:45 AM"
"16ebdfcc04c53f06","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00229447","400 BLOCK S  HULL ST","11/28/2019 @ 9:45 AM"
"16ebdfcc04c53f06","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00229443","700 BLOCK S  COURT ST","11/27/2019 @ 10:50 PM"
"16ebdfcc04c53f06","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00229446","3300 BLOCK  MONTEZUMA RD","11/25/2019 @ 1:00 PM"
"16ebdfcc04c53f06","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2019-00229486","400 BLOCK S  GOLDTHWAITE ST","11/25/2019 @ 6:00 AM"
"16eb8b0e9352b580","Assault","","HARASSMENT - SIMPLE ASSAULT","2019-00229279","1100 BLOCK  OAK ST","11/28/2019 @ 12:01 AM"
"16eb8b0e9352b580","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00229226","NORTHERN BLVD","11/27/2019 @ 10:00 PM"
"16eb8b0e9352b580","Assault","","HARASSMENT - SIMPLE ASSAULT","2019-00229146","1700 BLOCK  PINE ST","11/27/2019 @ 7:00 PM"
"16eb8b0e9352b580","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00228789","100 BLOCK S  ANTON DR","11/26/2019 @ 10:00 PM"
"16eb8b0e9352b580","Theft / Larceny","","THEFT 4TH - SHOPLIFTING LESS THAN $500","2019-00228485","300 BLOCK W  FAIRVIEW AV","11/26/2019 @ 8:45 PM"
"16eb8b0e9352b580","Assault","","DOMESTIC VIOLENCE BY STRANGULATION OR SUFFOCATION","2019-00226566","JEFF DAVIS AVE","11/23/2019 @ 11:00 PM"
"16eb8b0e51f37ccf","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00228949","1000 BLOCK  ROSEDALE DR","11/26/2019 @ 8:00 AM"
"16eb8b0e51f37ccf","Theft / Larceny","","THEFT 3RD - PUBLIC BUILDING","2019-00220695","400 BLOCK  COLISEUM BLVD","11/15/2019 @ 8:30 AM"
"16eb379d6b481e96","Assault","","ASSAULT 3RD - SIMPLE ASSAULT","2019-00228249","400 BLOCK  EDWARD ST","11/26/2019 @ 2:10 PM"
"16eb379d6b481e96","Assault","","MENACING - AGG ASSAULT - GUN/KNIFE/OTHER WEAPON","2019-00228207","3700 BLOCK  DALRAIDA PKWY","11/26/2019 @ 1:00 PM"
"16eb379d6b481e96","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00227992","1600 BLOCK  COLISEUM BLVD","11/25/2019 @ 8:00 PM"
"16eb379d4d177078","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00228125","500 BLOCK  TROY ST","11/26/2019 @ 10:54 AM"
"16eb379d4d177078","Burglary","","BURGLARY 3RD -NON-RESIDENCE - FORCE","2019-00228019","1300 BLOCK  HIGHLAND AVE","11/25/2019 @ 6:30 PM"
"16eb379d4d177078","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00228024","1900 BLOCK  NORMAN BRIDGE CT","11/25/2019 @ 8:00 AM"
"16ea99588b7d3352","Theft / Larceny","","THEFT 4TH - COIN OPERATED MACHINE","2019-00227451","400 BLOCK  COLISEUM BLVD","11/25/2019 @ 3:00 AM"
"16ea99585d092754","Robbery","","ROBBERY 1ST - STREET - KNIFE","2019-00227847","2400 BLOCK  CHAPPELL DR","11/25/2019 @ 10:35 PM"
"16ea99585d092754","Vandalism","","CRIMINAL MISCHIEF 3RD - OTHER","2019-00227671","400 BLOCK W  FAIRVIEW AV","11/25/2019 @ 5:00 PM"
"16ea99585d092754","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00227400","1200 BLOCK  EDGAR D NIXON AV","11/24/2019 @ 7:00 PM"
"16ea488b3647db41","Theft / Larceny","","THEFT 3RD - FROM RESIDENCE","2019-00226946","1100 BLOCK  EDGAR D NIXON AV","11/24/2019 @ 3:00 PM"
"16ea488b3647db41","Assault","","HARASSMENT","2019-00226894","900 BLOCK  MAXWELL BLVD","11/24/2019 @ 2:00 PM"
"16ea488b3647db41","Assault","","DISCHARGE FIREARM INTO OCCUPIED BUILDING/VEHICLE","2019-00227200","1000 BLOCK  MADISON AVE","11/24/2019 @ 11:10 AM"
"16ea488b3647db41","Vandalism","","CRIMINAL MISCHIEF 3RD - DAMAGE TO BUSINESS PROPERTY","2019-00226751","1000 BLOCK N  MCDONOUGH ST","11/24/2019 @ 8:30 AM"
"16ea488b3647db41","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2019-00226592","700 BLOCK  TERRACE AVE","11/23/2019 @ 9:00 PM"
"16ea488b3647db41","Assault","","DISCHARGE FIREARM INTO OCCUPIED BUILDING/VEHICLE","2019-00226740","1800 BLOCK  GIBBS CIR","11/23/2019 @ 9:00 PM"
"16ea488b3647db41","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00226914","600 BLOCK  PARK AV","11/23/2019 @ 3:00 PM"
"16ea488b3647db41","Assault","","HARASSMENT","2019-00226273","700 BLOCK W  FAIRVIEW AV","11/23/2019 @ 2:10 PM"
"16ea488b3647db41","Theft / Larceny","","THEFT 4TH - FROM RESIDENCE","2019-00226360","600 BLOCK  EMERSON ST","11/23/2019 @ 8:00 AM"
"16ea488b3647db41","Vandalism","","CRIMINAL MISCHIEF 2ND - DAMAGE TO BUSINESS PROPERTY","2019-00226082","1400 BLOCK  MOBILE RD","11/23/2019 @ 4:45 AM"
"16ea488affe118c4","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00226504","200 BLOCK  SPRINGHILL AV","11/23/2019 @ 7:00 PM"
"16ea488affe118c4","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00226099","3800 BLOCK  DALRAIDA PL","11/22/2019 @ 11:25 PM"
"16e9f4343645a28a","Assault","","DOMESTIC VIOLENCE 3RD - COERCION / SIMPLE ASSAULT","2019-00225854","1700 BLOCK  LANIER LN","11/22/2019 @ 8:29 PM"
"16e9f4343645a28a","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00225851","200 BLOCK  CENTENNIAL CIR","11/22/2019 @ 7:58 PM"
"16e9f4343645a28a","Assault","","DOMESTIC VIOLENCE 3RD - SIMPLE ASSAULT / COERCION","2019-00225800","600 BLOCK  BUFORD ST","11/22/2019 @ 7:00 PM"
"16e9f4343645a28a","Theft / Larceny","","THEFT 4TH - VEHICLE PARTS","2019-00225640","900 BLOCK  GARLAND DR","11/21/2019 @ 10:00 PM"
"16e9f4343645a28a","Assault","","HARASSMENT","2019-00219445","2000 BLOCK W  FAIRVIEW AV","11/13/2019 @ 10:35 AM"
"16e9f433a6471959","Burglary","","BURGLARY 3RD  - RESIDENCE - FORCE","2019-00225539","3300 BLOCK  FARO DR","11/22/2019 @ 9:00 AM"
"16e9f433a6471959","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00225407","200 BLOCK  2ND ST","11/14/2019 @ 5:00 PM"
"16e95013f5ecd149","Vehicle Break-In / Theft","","UBEV/ARTICLES FROM INSIDE VEHICLE","2019-00225244","3000 BLOCK  WOODLEY TER","11/21/2019 @ 11:30 PM"
"16e95013f5ecd149","Theft / Larceny","","THEFT 4TH - FROM YARD","2019-00225049","HALL ST","11/21/2019 @ 4:45 PM"
"16e95013f5ecd149","Theft / Larceny","","THEFT 1ST - FROM YARDS","2019-00224759","2000 BLOCK N  COUNTRY CLUB DR","11/20/2019 @ 5:00 PM"
"16e95013f5ecd149","Motor Vehicle Theft","","THEFT 1ST - MOTOR VEHICLE","2019-00221377","1100 BLOCK  MAGNOLIA CURV","11/16/2019 @ 2:00 AM"
"16e95013aec6360e","Vandalism","","CRIMINAL MISCHIEF 3RD- DAMAGE TO PRIVATE PROPERTY","2019-00225241","2400 BLOCK  CHASE PARK DR","11/21/2019 @ 11:28 PM"
